,label,description,keyword,examples,anti_examples
10,деструктивное поведение/алкоголь и наркотики,"Проблемы и поведение связанное с злоупотреблением алкоголем, наркотиками, другими психоактивными веществами.

В этот класс попадают тексты, содержащие:
- злоупотребление психоактивными веществами, алкоголем;
- злоупотребление алкоголем или наркотиками;
- факт употребления наркотиков, алкоголя, психоактивных
- родитетели или другие значиме родные, друзья - алкоголики или наркоманы.",,"Я выпила алкашки уже достаточно много. Но всё ещё держусь. Нас впереди ждут ещё шашлыки Я наркоман, мне 19 лет, употреблять наркотики я начал в 7 классе 

Я просто хочу выпить пива, просто хочу пива, а не это все, дайте мне пива

и мне стало абсолютно на всех и на все плевать, хочется только одного-забыться или напиться

потратить на себя 1к? неееееееее пробухать все бабки? О ДА",
11,"деструктивное поведение/проблемы с законом, дисциплиной","Факты в прошлом или настоящем, связанные с проблемами с законом, дисциплиной.

В этот класс попадают тексты, содержащие:
- правовые или дисциплинарне проблемы;
- штрафы;
- учет в полиции;
- факты криминального характера;
- факты прибывния в тюрьме;
- пролемы со школьной администраций, низкая успеваемость (если речь про школьников/стдуентов);
- проблемы с оценками в школе;
- факты отчисления из института;
- драки",,"В девятом классе, в 14, лет я попал в тюрьму на длительный срок, вышел я только в 22, года, сейчас мне 28.

И недавно я еле-еле выпутался из очередной проблемы - не сел в тюрьму из-за мошенничества (а я виноват в полной мере).

Да и деньги я украл только потому-что у всех кого я знал всё это было.

В школе отучился 9 кл, году в училище - выгнали, потом полгода в другом - выгнали.

За отвратительный характер пару лет назад выгнали с работы по статье.",
12,"проблемы в семье/физическое насилие","-В этот класс попадают все виды физического насилия в внутри семьи и дома.

В этот класс попадают тексты, содержащие:
- систематические избиения со стороны любых родственников;
- факты жестокого обращения или травмы;",,"Сегодня с утра по раньше отец ударил меня по лицу, за что спрашивается?

Окей вспомнила как мать пиздила меня, когда я валялась убитая с побочек и плакала, не зная, как объяснить, что я чувствую

Помню как она лежала в кроватке и кричала, пока мама была в пьяном угаре, у неё все время выпадала соска.",
13,проблемы в семье/сексуализированное насилие,"События в семейной среде, связанные с сексуализированным насилием.

В этот класс попадают тексты, содержащие сексульные домогательства, попытки и факты изнасилования любыми родственниками.",,"[кстати отец сказал что он меня изнасилует на выходных:).]

На самом деле я люблю свою маму и отца, но то что они делают..мама на меня орёт из за любой мелочи, а отец тоже орёт но достаточно редко, но прикол в том что он пытается меня изнасиловать, и домагается, и лапает меня. Я не хочу это терпеть, я не хочу ждать того что послезавтра..         ",
14,проблемы в семье/распад семьи,"Распад семьи.

В этот класс попадают тексты, содержащие:
- факты развода, расстования родителей;
- переживания, связанные с разводом или уходом родителей из семьи (то есть событие произошло недавно или длится сейчачс);
- распад семьи автора текста;
- измена между мужем и женой",,"приятно когда родители разводятся

Постепенно скандалы перешли в ненависть, и семьи не стало.

сегодня 6 августа2014 жена ушла к матери недалеко живет застал с любовником забрала мою 4 дочь он сней играет по её словам.

мы стали переписываться по интеренту, а зная подозрительность мужа, то я была уверне что он взломает пароль и начнет читать переписку ( она носила довольно не скромный харктер.",
15,проблемы в семье/сложные отношения с родственниками,"В этом классе нас интресуют трудности в эмоциональной сфере отношений (не физическое насилие)

В этот класс попадают тексты, содержащие:
- проблемы с родителями, братьями, сестрами, бабушками, дедушками (ненависть к ним, непонимание);
- действительная или мнимая утрата любви родителей, неразделенное чувство и ревность;
- прессинг «успеха» со стороны родителей;",,"я поняла, что боюсь взрослых мужчин. и неважно знакомый он мне или незнакомый. да пусть даже отец. просто боюсь, и это ужасно...

Слушаю как отец говорит что я стереотипное, тупое, ничего не умею, ничего не добьюсь, в школе ничего не учу

мать как же ты бесишь как же ты заебала ттттыыыы просто—.. блять—.........! мняшояозщиИжшаушнлжгч# тювочхшащу",
16,"проблемы в семье/трудности с беременностью, аборт, выкидыш","В этот класс попадают тексты, содержащие упоминания:
- о факте аборта, выкидыша, трудностей  с зачатием, бесплодия;
- о перживаниях после аборта, выкидыша, трудностей  с зачатием, бесплодием;",,"Очердной раз попросил меня сделать аборт, потому что боится, что жена узнает",
17,"проблемы во внешнем мире/травля, физическое насилие","Cобытия в среде школы, сверстников, на работе, вне дома, связанные с травлей, эмоциональными и физическими унижениями, насилием.

В этот класс попадают тексты, содержащие:
- систематические избиения;
- публичное унижение;
- издевательства в школе и травля;
- угрозы или вымогательство;
- факты  жестокого обращения или травмы;
- факты применения физической силы;
- подшучивания и насмешки;

Для справки:
Травля (буллинг) — это систематическое и целенаправленное эмоциональное и/или физическое агрессивное поведение группы людей (или человека при поддержке группы) по отношению к другому человеку.",,"мои подруги меня буллят

как же я не хочу в школу место где люди действительно поломали многое в 
моей жизни и нанесли дохуя травм,я уже не тот человек что будет молчать я
 заткну их,но все ровно не приятно когда люди которые тебя ненавидели 
хотят с тобой общаться они отвратительны",
18,проблемы во внешнем мире/сексуализированное насилие,"События в среде школы, сверстников, на работе, вне дома, связанные с сексуализированным насилием:

В этот класс попадают тексты, содержащие описание сексульных домогательств, попыток и фактов изнасилования;",,"Один раз я напилась до такого состояния, что не соображала где нахожусь, а к подруге пришел какой-то тип, который в итоге меня изнасиловал, и как я узнала потом заплатил за это моей подруге.",
19,"проблемы во внешнем мире/несчастная любовь, проблемы с друзьями, сложности построения отношений","Негативные эмоциональные состояния, чувства,  связные с ситуцими несчастной, неразделенной любви,  а также проблемы с в дружеских онтошениях:

В этот класс попадают тексты, содержащие:
- сексуальные неудачи;
- проблемы в романтических отношениях; 
- разрыв в любовных отношений;
- конфликты в любовных отношений;
- невзаимность;
- ссоры (разовые и постоянные)
- предательство друзей или второй половинки;
- неспособность завести дружбу или любовные отношения;
- измена между парнем и девушкой (или любые другие измены не в официальном браке)
- признак нездоровых отношений (например, сильная зависимость от партнера, психологические манипуляции: пассивная агрессия, газлайтинг, манипуляции)

В класс не попадают примеры, где фигурируют родственники, включая мужей и жен.",,"я слышала звон ключей ..\nкто то ходил по комнате .\nя это слышала , опять ..\nкак мне страшно спать без него ..\nтак хочу к нему назад , вернись прошу..

Не для него, для себя. Но я не очень хочу жить без него. Не знаю как себя заставить полюбить кого-то другого.

5 лет встречался с девушкой пол года назад она меня жестоко бросила.",
20,"смерть/смерть, несчастный случай или суицид близких","Смерть или суицид близких. Потеря, смерть, суицид членов семьи или близких людей, включая друзей.

В этот класс попадают тексты, содержащие:
- семейную историю суицида;
- факты смерти или суицида членов семьи; 
- факты смерти близких людей;
- факты несчастных случаев с близкими (дтп, терракт, природные катаклизмы и т.д.)
- крылатые фразы, связанные со смертью и самоубийством",,"Мой отец умер когда мне было 7.

Все детство я провел без отца, которого мне очень не хватало. 

моего друга сбила машина",
21,смерть/мысли о смерти,"Разрешающие установки и мысли относительно суицидального поведения.

В этот класс попадают тексты, содержащие:
- отождествление себя с человеком, совершившим самоубийство;
- наличие суицидальных мыслей;
- выбор тем разговора и чтения, связанных со смертью и самоубийствами;
- шутки, иронические высказывания о желании умереть;
- желание умереть;
- все то, что как-то связано с суицидом, но трудно в определении или не попадает в другие категории. Например, • ""Зачем нужны парные луки, татухи и всякая лабудень, если можно просто совершить парный суицид"" • ""нежелаете совершить со мной суицид?"" • ""соверши чистое, весёлое и энергичное самоубийство""",,"прощайте друзья.

но в голове урчание суицид суицид суицид.

Я ничего не понимаю. Хочу вскрыться

на утро мне сказали "" мы переспали"" а мне хотелось выйти в окно.

И думала уехать и там сдохнуть, типа без вести пропасть.",
22,смерть/намерения самоубийства,"Намерения о суициде — сообщения содержащие конкретный план действия. Отличается от ""желания умереть"" именно декларацией действий

В этот класс попадают тексты, содержащие:
- призывы к суициду;
- прощания;
- сообщение о конкретном плане суицида;
- поиск способов суицида.
- прямые, несомненные сообщения о суицидальных намерениях.

Для справки:
Сообщение должно быть либо в настоящем, либо в будущем времени.",," ""завтра в 7 иду на железную дорогу, всем спасибо за внимание»
«завтра набираю ванну и беру нож» 
""какую веревку выбрать» 
""смертельная доза таблеток»
«насколько глубоко надо резать вены»",
23,"чувства/беспомощность, безвыходность, безнадежность, отчаяние","Негативные эмоциональные состояния, убеждения и ситуации, связные с чувствами беспомощности и безвыходности

В этот класс попадают тексты, содержащие:
- безразличие к своей судьбе, безнадежность, беспомощность, отчаяние;
- представление о будущем как бесперспективном, безнадежном;
- представление о мире как месте потерь и разочарований;
- отсутствие планов на будущее;
- уверения в беспомощности и зависимости от других;
- ощущение давления прошлого",,"У меня нет сил жить, я просто морально слабая, почти никому не могу дать отпор,

Учусь в универе и подрабатывала, но не вижу теперь смысла не в чем, я в замкнутом круге, мне некуда деться, идти на улицу это тот же суицид, только более длительный и мучительный.


Нет больше ни сил, ни желания меняться, да и смысла не вижу ибо все равно ничего не получится.",
24,"чувства/негативное самоощущение, вина, стыд, никчемность, самобичевание","Негативное эмоциональные состояния, убеждения и ситуации, связные с негативным самоощущением,  чувствами вины, стыда, никчемности.

В этот класс попадают тексты, содержащие:
- раскаяния;
- чувства вины, стыда, оскорбленного самолюбия, самообвинения;
- представление о собственной личности как о ничтожной, не имеющей права жить;
- агрессия или ненависть к себе;
- вина или ощущение неудачи, поражения;
- чувство своей малозначимости, никчемности, ненужности
- восприятие себя как бремени
- выраженная низкая самооценка
- синдромы самозванца и отложенной жизни",," ""Но  последние пару месяцев меня глодет чувства стыда, вины, ненависти к себе за то, что я позволила себе вести такой блудный образ жизни""

Я плохой и очень слабый человек, пересмотрел всю свою жизнь, но слишком поздно.

Возникла аутоагрессия, ненавижу своё тело, одежду, трудно контактировать с людьми.

Хоть все говорят, что я очень красивая, но мне кажется, что такой уродины ещё никогда не видели.",
25,"чувства/одиночество, непонимание, изоляция, брошенность","Негативное эмоциональные состояния, убеждения и ситуации, связные с чувствами одиночества, тоски, обиды, непонимания и т. д

В этот класс попадают тексты, содержащие:
- одиночество
- самоизоляция от других людей и жизни;
- переживание обиды, одиночества, отчужденности и непонимания;
- Изоляция или брошенность;
- Чувство “ловушки”;
- побеги из дома.
- эскапизм, чрезмерный уход из реальности.",,"Хочется просто-напросто, мать вашу, обыкновенного понимания, эмпатии и сочувствия, а не слов «мне поебать»

Я схожу с ума от одиночества!

Я живу один, и чувствую, что мне так лучше.

",
26,"чувства/агрессия, гнев, обида, злость, раздражительность, ревность, несправедливость","Выражение агрессии, гнева, протеста, злобы и других активных негативных эмоций.

В этот класс попадают тексты, содержащие:
- агрессивность;
- протест, чувство мести, злобы для наказания значимого другого;
- гнев;
- зависть;
- физиологическое возбуждение от злости/гнева;
- ненависть или ярость, направленная на других;
- чувство несправедливости;
- раздраженность",,"Мужа просто ненавижу.

Я ненавижу себя и людей, которые меня окружают.

Все бесит, особенно такая безмозглая жизнь.",
27,"чувства/душевное опустошение, подавленность, тоска, грусть","В этот класс попадают тексты, содержащие упоминания
- душевные страдания (без конкретики)
- боль (если нет контекста, что боль физическая)
- ощущение, что «все плохо»;
- подавленность,",,"Мне ужасно больно от того, что происходит.

Как же мне хреново...

Чувство будто душу вынули, что я пустая оболочка",
28,другое/деструктивные установки,"В класс попадает мировоззрение людей такое как
- бесстрашие перед смертью
- обесценивание жизни
- рассуждения о тщетности жизни;",,"жизнь тлен

я не боюсь умереть",
29,другое/сталкинг,"Упрощая, сталкинг — это когда человека маниакально преследуют. Бывший парень или подруга, отвергнутый поклонник или просто незнакомый человек могут поджидать у подъезда, следить, караулить у работы, писать письма, навязчиво и системно звонить на личный и даже на рабочий телефон, посылать подарки — это всё проявление сталкинга.

В этот класс попадают тексты, содержащие упоминания:

- о факте преследования человека;
- о фактах проявления сталкинга;
- о подозрениях человека, что его преследуют
- о слежке за человеком (просматривают телефон, компьютер, мониторят геолокацию и т.д)",,"я была бы рада подумать что я просто схожу с ума, но я знаю что это не так. Парень ходит за мной как привязанный.",
30,другое/проблемы с профессиональным определением и реализацией,"В этот класс попадают тексты, содержащие упоминания:
- о вынужденном увольнении;
- безработица;
- долгих бесупешных поисках работы;
- неудовлетворенность текущей работой;
- невозможности найти себя в профессии.",,"Понимаю, что дело надо закрывать и опять искать работу, но мне жалко своего труда, своих сил и своих неоправданных надежд ( что из моей малюсенькой фирмочки со временем разовьется хорошая фирма.

Там дважды написано «конкурентноспособный уровень дохода» то есть в жопу засунут не одну морковку а две Оч привлекательно спасибо",
31,"другое/проблемы с деньгами (нищенство, долги)","Временные или постоянные ситуации с долгами, бедностью, нищинством.

В этот класс попадают тексты, содержащие:
- денежные долги;
- финансовые прблемы;
- бедность (личная или семейная);
- нищенство;
- нужда",,"Я остался без денег \nНадо оплатить развлекаловку на ДР сестры, у мамы денег нет, так что идёт то, что было подарено мне на др. \nПрекрасная перспектива быть старшей сестрой, чтобы отдавать все младшим она такая сексуальная

скиньте на сгущенку, я бомжик

люди умоляю купите у меня рисунок я вам нарисую по пояс классный рисуночек за цену которую вы хотите пожалуйстаааа мне очень очень нужно деньги

У меня просрочки по кредитам незнаю что делать выщитывают сзарплаты на детей ни копейки не остаётся незнаю что делать хочу по вешатся детей заберут родственники там им будет лучше",
32,другое/подражание кумиру в суцидальном поведении,"Подражание кумиру в самоповреждающем/суцидальном поведении или  «эффект Вертера»

В этот класс попадают тексты, содержащие сочувствие или подражание товарищам, героям книг или фильмов суицидальный тематики, а также подражание кумиру, публичной персоне в самоубийстве.

Для справки:
«Эффект Вертера» – волна массовых подражающих самоубийств, зачастую связанных со смертью знаменитостей или с тем или иным произведением искусства, главный герой которого накладывает на себя руки или трагически уходит из жизни. Термин введён американским социологом Дэвидом Филлипсом, исследовавшим вспышку суицидов XVIII века, спровоцированную романом Гёте «Страдания юного Вертера». Филлипс обнаружил, что самоубийства, освещаемые СМИ, как правило, влекут за собой действия подражательного характера среди населения. ",,,
